번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
14,동물위탁관리업,02_03_10_P,3080000,3.08e+17,2023-02-15,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강북,"서울특별시 강북구 오현로**길 **-**, 평안빌딩 *층 (번동)",1224.0,머뭄 애견유치원,2023-02-15 14:19,I,2023-02-17 0:41,,203447.4397,458322.9975,동물위탁관리업,동물위탁관리업,0,0
17,동물위탁관리업,02_03_10_P,3060000,3.06e+17,2023-02-15,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 중랑,"서울특별시 중랑구 망우로 ***-*, *층 (망우동)",2163.0,Wales Dog(웨일스 독),2023-02-15 9:31,I,2023-02-17 0:41,,208264.1339,455115.8219,동물위탁관리업,동물위탁관리업,0,0
18,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2023-02-06,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 논현로**길 **, *층 (개포동)",6314.0,베럴독,2023-02-06 9:04,I,2023-02-08 0:40,,204425.2135,441411.7876,동물위탁관리업,동물위탁관리업,0,0
21,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2023-02-23,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 마포,"서울특별시 마포구 방울내로 **, *층 ***호 (망원동)",3959.0,펫다이어리,2023-02-23 10:03,I,2023-02-25 0:41,,191154.2644,450740.7244,동물위탁관리업,동물위탁관리업,0,0
39,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2023-02-17,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 우이천로**길 **, *층 (쌍문동)",1379.0,댕댕이 이쁘개,2023-02-17 11:03,I,2023-02-19 0:41,,202165.6284,460889.9406,동물위탁관리업,동물위탁관리업,0,0
44,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2023-02-03,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 덕릉로 ***-*, *층 (창동)",1474.0,고양이바보 강북수유점,2023-02-07 16:02,U,2023-02-09 2:40,,203466.2957,459782.0428,동물위탁관리업,동물위탁관리업,0,0
45,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2023-02-03,,1,영업/정상,0,정상,,,,,1660-1241,0.0,,서울특별시 마포,"서울특별시 마포구 월드컵로 **, *층 (서교동)",4029.0,21그램 케어센터 합정점,2023-02-03 10:10,I,2023-02-05 0:40,,192189.4189,450104.5011,동물위탁관리업,동물위탁관리업,L00,0
62,동물위탁관리업,02_03_10_P,3030000,3.03e+17,2023-01-13,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성동,"서울특별시 성동구 왕십리로 ***(하왕십리동, 센트라스)",4701.0,어반독,2023-01-13 9:10,I,2023-01-15 0:41,,202372.912,451536.6809,동물위탁관리업,동물위탁관리업,0,0
72,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2023-01-16,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 도봉로***나길 **, *층 (도봉동)",1307.0,마벨켄넬,2023-01-16 9:11,I,2023-01-18 0:40,,203799.8604,463838.6447,동물위탁관리업,동물위탁관리업,0,0
75,동물위탁관리업,02_03_10_P,3040000,3.04e+17,2022-11-15,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 광진,"서울특별시 광진구 긴고랑로 **, *층 (중곡동)",4922.0,댕댕큘럼,2022-11-15 9:12,I,2022-11-17 0:22,,207396.7288,450958.0472,동물위탁관리업,동물위탁관리업,0,0
