"번호","구분","업체명","소재지","인허가 정보","이전인허가정보"
"1"," 미용","펫힐링센터","서울특별시 종로구 부암동","300000004920230001",""
"2"," 미용","올리브동물병원","서울특별시 종로구 홍지동","300000004920220001",""
"3"," 미용","사계절, 몽","서울특별시 종로구 숭인동","300000004920210002","300000003720210002"
"4"," 미용","허그댕댕","서울특별시 종로구 창신동","300000004920210001","300000003720210001"
"5"," 미용","한국반려동물아카데미뷰티샵","서울특별시 종로구 숭인동","300000004920190006","300000003720190006"
"6"," 판매 미용","레인독","서울특별시 종로구 명륜2가","300000004920190005","300000003720190005"
"7"," 판매 전시 위탁관리 미용","미션코리아","서울특별시 종로구 효제동","300000004920180017","300000003720180017"
"8"," 미용","Dog star","서울특별시 종로구 숭인동","300000004920180016","300000003720180016"
"9"," 미용","광화문동물병원","서울특별시 종로구 효자동","300000004920180014","300000003720180014"
"10"," 미용","대학로동물병원","서울특별시 종로구 명륜2가","300000004920180012","300000003720180012"
"11"," 위탁관리 미용","경희궁바른동물병원","서울특별시 종로구 홍파동","300000004920180010","300000003720180010"
"12"," 미용","아지나라","서울특별시 종로구 창신동","300000004920180009","300000003720180009"
"13"," 위탁관리 미용","월드펫동물병원","서울특별시 종로구 신영동","300000004920180008","300000003720180008"
"14"," 미용","이쁜아이","서울특별시 종로구 창신동","300000004920180006","300000003720180006"
"15"," 위탁관리 미용","북악동물병원","서울특별시 종로구 홍지동","300000004920180005","300000003720180005"
"16"," 미용","서촌도그살롱","서울특별시 종로구 필운동","300000004920180003","300000003720180003"
"17"," 미용","나나애견미용","서울특별시 종로구 숭인동","300000004920180002","300000003720180002"
"18"," 미용","우댕댕 펫살롱","서울특별시 중구 신당동","301000004920230001",""
"19"," 미용","하이몽블리","서울특별시 중구 신당동","301000004920220001",""
"20"," 미용","스타독","서울특별시 중구 충무로4가","301000004920200001","301000003720200001"
"21"," 미용","웰펫동물병원","서울특별시 중구 신당동","301000004920190010","301000003720190010"
"22"," 미용","메종동물병원","서울특별시 중구 신당동","301000004920190008","301000003720190008"
"23"," 위탁관리 미용","강아지 마법사 골드맘","서울특별시 중구 신당동","301000004920190006","301000003720190006"
"24"," 미용","마이티그루밍 약수점","서울특별시 중구 신당동","301000004920190004","301000003720190004"
"25"," 위탁관리 미용","애뚜애뚜","서울특별시 중구 신당동","301000004920190002","301000003720190002"
"26"," 위탁관리 미용","미래지동물의료센터","서울특별시 중구 신당동","301000004920180011","301000003720180011"
"27"," 미용","신당좋아요동물병원","서울특별시 중구 신당동","301000004920180010","301000003720180010"
"28"," 위탁관리 미용","백슬동물병원","서울특별시 중구 만리동2가","301000004920180008","301000003720180008"
"29"," 위탁관리 미용","남산동물병원","서울특별시 중구 신당동","301000004920180009","301000003720180009"
"30"," 미용","바른동물병원","서울특별시 중구 황학동","301000004920180007","301000003720180007"
"31"," 위탁관리 미용","COZY","서울특별시 중구 신당동","301000004920180006","301000003720180006"
"32"," 미용","바우미우동물병원","서울특별시 중구 신당동","301000004920180005","301000003720180005"
"33"," 미용","(주)써니스펫","서울특별시 중구 황학동","301000004920180004","301000003720180004"
"34"," 미용","대한동물병원","서울특별시 중구 충무로4가","301000004920180002","301000003720180002"
"35"," 미용","멍멍샵 플러스","서울특별시 용산구 이태원동","302000004920230001",""
"36"," 미용","루피네","서울특별시 용산구 원효로2가","302000004920220006",""
"37"," 미용","엘슈슈","서울특별시 용산구 용산동2가","302000004920220005",""
"38"," 미용","엠코코(Mcoco)","서울특별시 용산구 용문동","302000004920220004",""
"39"," 미용","한남메이펫","서울특별시 용산구 한남동","302000004920220003",""
"40"," 미용","개님살롱","서울특별시 용산구 원효로1가","302000004920220002","302000003720220002"
"41"," 미용","도미네로","서울특별시 용산구 이태원동","302000004920210016","302000003720210016"
"42"," 미용","독클래스","서울특별시 용산구 이태원동","302000004920210014","302000003720210014"
"43"," 미용","크린？ 한남지점-하울팟","서울특별시 용산구 한남동","302000004920210011","302000003720210011"
"44"," 미용","올리스용산점","서울특별시 용산구 이태원동","302000004920210008","302000003720210008"
"45"," 미용","베럴라이프(BetterLife)","서울특별시 용산구 이태원동","302000004920210006","302000003720210006"
"46"," 미용","몽스빌리지","서울특별시 용산구 도원동","302000004920210005","302000003720210005"
"47"," 미용","엠펫","서울특별시 용산구 후암동","302000004920210002","302000003720210002"
"48"," 미용","아츠","서울특별시 용산구 이태원동","302000004920200010","302000003720200010"
"49"," 미용","트리밍807","서울특별시 용산구 한남동","302000004920200005","302000003720200005"
"50"," 미용","도기캠프","서울특별시 용산구 효창동","302000004920200002","302000003720200002"
"51"," 미용","원스동물병원","서울특별시 용산구 청파동2가","302000004920190007","302000003720190007"
"52"," 미용","펫그라운드_해방촌","서울특별시 용산구 용산동2가","302000004920190004","302000003720190004"
"53"," 미용","소월집","서울특별시 용산구 이태원동","302000004920190002","302000003720190002"
"54"," 미용","아프리카동물병원","서울특별시 용산구 후암동","302000004920180045","302000003720180045"
"55"," 미용","우쭈쭈","서울특별시 용산구 이태원동","302000004920180043","302000003720180043"
"56"," 미용","바다동물병원","서울특별시 용산구 용산동5가","302000004920180041","302000003720180041"
"57"," 미용","워너비동물병원 용산점","서울특별시 용산구 한강로3가","302000004920180040","302000003720180040"
"58"," 미용","멍멍？","서울특별시 용산구 보광동","302000004920180039","302000003720180039"
"59"," 미용","차오름동물병원","서울특별시 용산구 산천동","302000004920180037","302000003720180037"
"60"," 미용","21세기동물병원","서울특별시 용산구 보광동","302000004920180036","302000003720180036"
"61"," 미용","달래동물의료센터","서울특별시 용산구 한남동","302000004920180034","302000003720180034"
"62"," 미용","민트동물병원","서울특별시 용산구 산천동","302000004920180032","302000003720180032"
"63"," 미용","라온동물병원","서울특별시 용산구 이태원동","302000004920180030","302000003720180030"
"64"," 미용","원효동물병원","서울특별시 용산구 용문동","302000004920180038","302000003720180038"
"65"," 미용","남산동물병원","서울특별시 용산구 후암동","302000004920180028","302000003720180028"
"66"," 미용","펫토이동믈병원","서울특별시 용산구 한남동","302000004920180018","302000003720180018"
"67"," 미용","엉클장동물병원","서울특별시 용산구 원효로1가","302000004920180022","302000003720180022"
"68"," 미용","베이동물병원","서울특별시 용산구 이촌동","302000004920180014","302000003720180014"
"69"," 미용","(주)이상윤동물병원","서울특별시 용산구 이촌동","302000004920180012","302000003720180012"
"70"," 미용","24시 시유동물메디컬센터","서울특별시 용산구 이촌동","302000004920180016","302000003720180016"
"71"," 미용","좋아서하는동물병원","서울특별시 용산구 원효로1가","302000004920180021","302000003720180021"
"72"," 미용","금강동물병원","서울특별시 용산구 이촌동","302000004920180020","302000003720180020"
"73"," 미용","이태원동물병원","서울특별시 용산구 이태원동","302000004920180010","302000003720180010"
"74"," 미용","펫동물병원","서울특별시 용산구 효창동","302000004920180009","302000003720180009"
"75"," 미용","오렌지애견","서울특별시 용산구 한강로3가","302000004920180008","302000003720180008"
"76"," 미용","보광동물병원","서울특별시 용산구 보광동","302000004920180007","302000003720180007"
"77"," 미용","포지티브(Pawsitive)","서울특별시 용산구 이태원동","302000004920180006","302000003720180006"
"78"," 미용","더힐동물의료센터","서울특별시 용산구 한남동","302000004920180003","302000003720180003"
"79"," 미용","다줄","서울특별시 용산구 한강로3가","302000004920180002","302000003720180002"
"80"," 미용","목욕하는 고양이","서울특별시 용산구 보광동","302000004920180001","302000003720180001"
"81"," 미용","어반독","서울특별시 성동구 하왕십리동","303000004920230002",""
"82"," 미용","펌킨 펫하우스 서울숲","서울특별시 성동구 성수동1가","303000004920230001",""
"83"," 미용","슈슈멍","서울특별시 성동구 홍익동","303000004920220004",""
"84"," 미용","알라꿀 펫살롱","서울특별시 성동구 송정동","303000004920220003","303000003720220003"
"85"," 미용","주식회사 바우라움 서울숲","서울특별시 성동구 행당동","303000004920190017","303000003720190017"
"86"," 미용","펫살롱","서울특별시 성동구 상왕십리동","303000004920210005","303000003720210005"
"87"," 미용","애니네 반려견 미용실","서울특별시 성동구 금호동1가","303000004920200014","303000003720200014"
"88"," 미용","오늘동물병원","서울특별시 성동구 성수동1가","303000004920200006","303000003720200006"
"89"," 미용","서울숲 dogs","서울특별시 성동구 성수동1가","303000004920200009","303000003720200009"
"90"," 미용","나인페츠","서울특별시 성동구 성수동1가","303000004920200005","303000003720200005"
"91"," 미용","개깎쟁이","서울특별시 성동구 행당동","303000004920200002","303000003720200002"
"92"," 미용","커츄츄","서울특별시 성동구 금호동4가","303000004920200003","303000003720200003"
"93"," 미용","베이지동물병원","서울특별시 성동구 하왕십리동","303000004920190020","303000003720190020"
"94"," 미용","고양아, 안녕?","서울특별시 성동구 마장동","303000004920190014","303000003720190014"
"95"," 미용","멍멍살롱","서울특별시 성동구 마장동","303000004920190012","303000003720190012"
"96"," 미용","선녀와 강아지","서울특별시 성동구 홍익동","303000004920190010","303000003720190010"
"97"," 미용","바스멍","서울특별시 성동구 금호동1가","303000004920190009","303000003720190009"
"98"," 미용","도그마 펫살롱","서울특별시 성동구 금호동2가","303000004920190004","303000003720190004"
"99"," 미용","안녕강아지","서울특별시 성동구 금호동4가","303000004920190005","303000003720190005"
"100"," 미용","베이글 버트 그루밍","서울특별시 성동구 성수동1가","303000004920190002","303000003720190002"
"101"," 미용","미주 애견","서울특별시 성동구 행당동","303000004920180064","303000003720180064"
"102"," 미용","오렌지 동물병원","서울특별시 성동구 행당동","303000004920180062","303000003720180062"
"103"," 미용","한빛동물병원","서울특별시 성동구 금호동2가","303000004920180059","303000003720180059"
"104"," 미용","24시센트럴동물메디컬센터","서울특별시 성동구 행당동","303000004920180060","303000003720180060"
"105"," 미용","모동모동","서울특별시 성동구 성수동1가","303000004920180054","303000003720180054"
"106"," 미용","Show Dog","서울특별시 성동구 행당동","303000004920180046","303000003720180046"
"107"," 미용","스테이 동물병원","서울특별시 성동구 옥수동","303000004920180045","303000003720180045"
"108"," 미용","이윤세 동물병원","서울특별시 성동구 행당동","303000004920180048","303000003720180048"
"109"," 미용","왕십리조은동물병원","서울특별시 성동구 하왕십리동","303000004920180052","303000003720180052"
"110"," 미용","옥수수동물병원","서울특별시 성동구 옥수동","303000004920180043","303000003720180043"
"111"," 미용","아지동물병원","서울특별시 성동구 금호동4가","303000004920180041","303000003720180041"
"112"," 미용","꿈꾸는강아지","서울특별시 성동구 성수동1가","303000004920180040","303000003720180040"
"113"," 미용","버블퍼피","서울특별시 성동구 하왕십리동","303000004920180037","303000003720180037"
"114"," 미용","금호동물병원","서울특별시 성동구 금호동2가","303000004920180034","303000003720180034"
"115"," 미용","바둑이 애견미용","서울특별시 성동구 금호동4가","303000004920180031","303000003720180031"
"116"," 미용","서울숲 동물병원","서울특별시 성동구 성수동2가","303000004920180028","303000003720180028"
"117"," 미용","제인동물병원","서울특별시 성동구 성수동2가","303000004920180029","303000003720180029"
"118"," 미용","바라봄동물병원","서울특별시 성동구 하왕십리동","303000004920180026","303000003720180026"
"119"," 미용","함께하는 동물병원","서울특별시 성동구 옥수동","303000004920180017","303000003720180017"
"120"," 미용","마이뷰티독","서울특별시 성동구 상왕십리동","303000004920180023","303000003720180023"
"121"," 미용","코코네 강아지 미용실","서울특별시 성동구 용답동","303000004920180022","303000003720180022"
"122"," 미용","앙꼬네 미용실","서울특별시 성동구 행당동","303000004920180021","303000003720180021"
"123"," 미용","포레 동물병원","서울특별시 성동구 성수동1가","303000004920180014","303000003720180014"
"124"," 미용","강아지song","서울특별시 성동구 송정동","303000004920180020","303000003720180020"
"125"," 미용","한양동물메디컬센터","서울특별시 성동구 행당동","303000004920180011","303000003720180011"
"126"," 미용","웨그앤코","서울특별시 성동구 성수동2가","303000004920180013","303000003720180013"
"127"," 미용","펫365동물병원","서울특별시 성동구 금호동4가","303000004920180007","303000003720180007"
"128"," 미용","달링동물병원","서울특별시 성동구 성수동1가","303000004920180004","303000003720180004"
"129"," 미용","텐즈힐 애견미용","서울특별시 성동구 상왕십리동","303000004920180003","303000003720180003"
"130"," 미용","(주)이마트 성수점 몰리스","서울특별시 성동구 성수동2가","303000004920180002","303000003720180002"
"131"," 미용","심쿵멍쿵","서울특별시 광진구 중곡동","304000004920230001",""
"132"," 미용","느긋","서울특별시 광진구 중곡동","304000004920220007",""
"133"," 미용","비비앤독","서울특별시 광진구 구의동","304000004920220006","304000003720220006"
"134"," 미용","오늘은 꽃단장","서울특별시 광진구 자양동","304000004920220005","304000003720220005"
"135"," 미용","럽퍼피","서울특별시 광진구 중곡동","304000004920220003","304000003720220003"
"136"," 미용","댕바라기","서울특별시 광진구 구의동","304000004920210012","304000003720210012"
"137"," 미용","메이의 하루","서울특별시 광진구 구의동","304000004920210010","304000003720210010"
"138"," 미용","루비숑 펫살롱","서울특별시 광진구 구의동","304000004920210009","304000003720210009"
"139"," 미용","toutou miel","서울특별시 광진구 중곡동","304000004920210007","304000003720210007"
"140"," 미용","꿀강아지 테리하우스","서울특별시 광진구 중곡동","304000004920210006","304000003720210006"
"141"," 미용","순수","서울특별시 광진구 중곡동","304000004920210001","304000003720210001"
"142"," 미용","아낌","서울특별시 광진구 구의동","304000004920200006","304000003720200006"
"143"," 미용","김고은그루밍#","서울특별시 광진구 중곡동","304000004920200003","304000003720200003"
"144"," 미용","Onene(오네네)","서울특별시 광진구 중곡동","304000004920190014","304000003720190014"
"145"," 미용","김언니 펫살롱","서울특별시 광진구 자양동","304000004920190012","304000003720190012"
"146"," 미용","디어독","서울특별시 광진구 자양동","304000004920190010","304000003720190010"
"147"," 미용","컴투펫","서울특별시 광진구 자양동","304000004920190003","304000003720190003"
"148"," 미용","버블링","서울특별시 광진구 자양동","304000004920180081","304000003720180081"
"149"," 미용","카나비스 펫(cannabis pet)","서울특별시 광진구 중곡동","304000004920180079","304000003720180079"
"150"," 미용","쥬라기동물병원","서울특별시 광진구 광장동","304000004920180072","304000003720180072"
"151"," 미용","이쁘개멋있개","서울특별시 광진구 군자동","304000004920180070","304000003720180070"
"152"," 미용","도기파크","서울특별시 광진구 자양동","304000004920180065","304000003720180065"
"153"," 미용","동서울동물병원","서울특별시 광진구 광장동","304000004920180067","304000003720180067"
"154"," 미용","노룬산동물병원","서울특별시 광진구 자양동","304000004920180063","304000003720180063"
"155"," 미용","광진24시 필동물병원","서울특별시 광진구 구의동","304000004920180061","304000003720180061"
"156"," 미용","로얄에이알씨(주)","서울특별시 광진구 자양동","304000004920180055","304000003720180055"
"157"," 미용","광진 pet","서울특별시 광진구 구의동","304000004920180054","304000003720180054"
"158"," 미용","베이비독","서울특별시 광진구 자양동","304000004920180053","304000003720180053"
"159"," 미용","애플동물병원","서울특별시 광진구 능동","304000004920180051","304000003720180051"
"160"," 미용","희망애견샵","서울특별시 광진구 구의동","304000004920180048","304000003720180048"
"161"," 미용","아차산동물병원","서울특별시 광진구 구의동","304000004920180049","304000003720180049"
"162"," 미용","중앙애견","서울특별시 광진구 자양동","304000004920180044","304000003720180044"
"163"," 미용","나루동물병원","서울특별시 광진구 광장동","304000004920180046","304000003720180046"
"164"," 미용","스마트동물병원 군자점","서울특별시 광진구 중곡동","304000004920180031","304000003720180031"
"165"," 미용","이다애견미용실","서울특별시 광진구 자양동","304000004920180029","304000003720180029"
"166"," 미용","방주종합동물병원","서울특별시 광진구 중곡동","304000004920180026","304000003720180026"
"167"," 미용","피카소 동물병원 미용","서울특별시 광진구 화양동","304000004920180024","304000003720180024"
"168"," 미용","연두동물병원","서울특별시 광진구 구의동","304000004920180022","304000003720180022"
"169"," 미용","용마동물병원","서울특별시 광진구 중곡동","304000004920180023","304000003720180023"
"170"," 미용","(주)이마트 자양점","서울특별시 광진구 자양동","304000004920180020","304000003720180020"
"171"," 미용","준동물병원","서울특별시 광진구 자양동","304000004920180019","304000003720180019"
"172"," 미용","프라임동물병원","서울특별시 광진구 구의동","304000004920180015","304000003720180015"
"173"," 미용","보람동물병원","서울특별시 광진구 군자동","304000004920180014","304000003720180014"
"174"," 미용","다온동물병원","서울특별시 광진구 중곡동","304000004920180013","304000003720180013"
"175"," 미용","중곡동물병원","서울특별시 광진구 중곡동","304000004920180012","304000003720180012"
"176"," 미용","마이아지트","서울특별시 광진구 군자동","304000004920180009","304000003720180009"
"177"," 미용","멍미","서울특별시 광진구 구의동","304000004920180008","304000003720180008"
"178"," 미용","드림펫","서울특별시 광진구 중곡동","304000004920180006","304000003720180006"
"179"," 미용","서울동물병원","서울특별시 광진구 중곡동","304000004920180004","304000003720180004"
"180"," 미용","강아지놀이터","서울특별시 광진구 구의동","304000004920180003","304000003720180003"
"181"," 미용","코코애견","서울특별시 광진구 중곡동","304000004920180002","304000003720180002"
"182"," 미용","랄라몽","서울특별시 동대문구 전농동","305000004920230003",""
"183"," 미용","hi, petsalon","서울특별시 동대문구 휘경동","305000004920230002",""
"184"," 미용","메이드독","서울특별시 동대문구 장안동","305000004920230001",""
"185"," 미용","몽슈아","서울특별시 동대문구 용두동","305000004920220010",""
"186"," 미용","331멍발소","서울특별시 동대문구 제기동","305000004920220009",""
"187"," 미용","땅콩동물병원","서울특별시 동대문구 답십리동","305000004920220008",""
"188"," 미용","모이","서울특별시 동대문구 용두동","305000004920220007",""
"189"," 미용","정말귀엽개","서울특별시 동대문구 장안동","305000004920220006","305000003720220006"
"190"," 미용","하이조이","서울특별시 동대문구 이문동","305000004920220004","305000003720220004"
"191"," 미용","사랑스럽개","서울특별시 동대문구 답십리동","305000004920210006","305000003720210006"
"192"," 미용","우쭈쭈","서울특별시 동대문구 용두동","305000004920210004","305000003720210004"
"193"," 미용","무브멍트","서울특별시 동대문구 답십리동","305000004920210003","305000003720210003"
"194"," 미용","신나개","서울특별시 동대문구 장안동","305000004920210001","305000003720210001"
"195"," 미용","호야펫살롱","서울특별시 동대문구 장안동","305000004920200013","305000003720200013"
"196"," 미용","도그핏애견샵","서울특별시 동대문구 장안동","305000004920200011","305000003720200011"
"197"," 미용","푸른종합동물병원","서울특별시 동대문구 청량리동","305000004920200009","305000003720200009"
"198"," 미용","제연동물병원","서울특별시 동대문구 전농동","305000004920200006","305000003720200006"
"199"," 미용","산책길(반려동물 미용실)","서울특별시 동대문구 답십리동","305000004920200003","305000003720200003"
"200"," 미용","호두네","서울특별시 동대문구 전농동","305000004920200001","305000003720200001"
"201"," 미용","꽃길만 걷개","서울특별시 동대문구 장안동","305000004920190019","305000003720190019"
"202"," 미용","사랑해줄개","서울특별시 동대문구 이문동","305000004920190017","305000003720190017"
"203"," 미용","배불도기","서울특별시 동대문구 회기동","305000004920190014","305000003720190014"
"204"," 미용","펫119","서울특별시 동대문구 답십리동","305000004920190011","305000003720190011"
"205"," 미용","동그라미","서울특별시 동대문구 전농동","305000004920190003","305000003720190003"
"206"," 미용","시현펫살롱","서울특별시 동대문구 이문동","305000004920190006","305000003720190006"
"207"," 미용","바르다펫","서울특별시 동대문구 장안동","305000004920190002","305000003720190002"
"208"," 미용","도그 하우스","서울특별시 동대문구 제기동","305000004920180070","305000003720180070"
"209"," 미용","마이티 그루밍(동대문점)","서울특별시 동대문구 휘경동","305000004920180057","305000003720180057"
"210"," 미용","아띠 동물의료센터","서울특별시 동대문구 전농동","305000004920180058","305000003720180058"
"211"," 미용","패션그루머","서울특별시 동대문구 전농동","305000004920180060","305000003720180060"
"212"," 미용","#멍멍","서울특별시 동대문구 휘경동","305000004920180055","305000003720180055"
"213"," 미용","한스 강아지방","서울특별시 동대문구 휘경동","305000004920180052","305000003720180052"
"214"," 미용","버블독","서울특별시 동대문구 장안동","305000004920180049","305000003720180049"
"215"," 미용","주주 동물병원","서울특별시 동대문구 전농동","305000004920180045","305000003720180045"
"216"," 미용","그랜드 동물병원","서울특별시 동대문구 답십리동","305000004920180043","305000003720180043"
"217"," 미용","VIP 동물의료센터","서울특별시 동대문구 장안동","305000004920180042","305000003720180042"
"218"," 미용","심재웅 동물병원","서울특별시 동대문구 휘경동","305000004920180040","305000003720180040"
"219"," 미용","둥글개 둥글개","서울특별시 동대문구 장안동","305000004920180038","305000003720180038"
"220"," 미용","현대종합펫(현대동물병원)","서울특별시 동대문구 장안동","305000004920180035","305000003720180035"
"221"," 미용","그루밍살롱 마루네","서울특별시 동대문구 장안동","305000004920180031","305000003720180031"
"222"," 미용","그린 동물병원","서울특별시 동대문구 용두동","305000004920180032","305000003720180032"
"223"," 미용","앙쥬펫","서울특별시 동대문구 장안동","305000004920180026","305000003720180026"
"224"," 미용","스마트 동물병원","서울특별시 동대문구 장안동","305000004920180027","305000003720180027"
"225"," 미용","장평펫샵(장평동물병원)","서울특별시 동대문구 장안동","305000004920180025","305000003720180025"
"226"," 미용","디아크 동물병원","서울특별시 동대문구 청량리동","305000004920180021","305000003720180021"
"227"," 미용","뉴월드 동물병원","서울특별시 동대문구 답십리동","305000004920180024","305000003720180024"
"228"," 미용","바론 동물의료센터","서울특별시 동대문구 이문동","305000004920180020","305000003720180020"
"229"," 미용","더케이 동물병원","서울특별시 동대문구 답십리동","305000004920180018","305000003720180018"
"230"," 미용","엘 동물병원","서울특별시 동대문구 용두동","305000004920180013","305000003720180013"
"231"," 미용","그루밍 플래너","서울특별시 동대문구 답십리동","305000004920180008","305000003720180008"
"232"," 미용","퍼피테일","서울특별시 동대문구 답십리동","305000004920180006","305000003720180006"
"233"," 미용","미니 앤 바니 애견샵","서울특별시 동대문구 장안동","305000004920180004","305000003720180004"
"234"," 미용","CPP(씨피피)","서울특별시 중랑구 상봉동","306000004920230001",""
"235"," 미용","트리트멍트","서울특별시 중랑구 면목동","306000004920220017",""
"236"," 미용","나나펫","서울특별시 중랑구 묵동","306000004920220016",""
"237"," 미용","감성있개","서울특별시 중랑구 신내동","306000004920220015",""
"238"," 미용","털뭉치들","서울특별시 중랑구 면목동","306000004920220014",""
"239"," 미용","까까줄개","서울특별시 중랑구 신내동","306000004920220013",""
"240"," 미용","사랑옵다","서울특별시 중랑구 망우동","306000004920220012","306000003720220012"
"241"," 미용","강아지 미용실","서울특별시 중랑구 묵동","306000004920220003","306000003720220003"
"242"," 미용","디디그루밍","서울특별시 중랑구 상봉동","306000004920220002","306000003720220002"
"243"," 미용","이모네 강아지","서울특별시 중랑구 묵동","306000004920210016","306000003720210016"
"244"," 미용","마리앤독","서울특별시 중랑구 중화동","306000004920210014","306000003720210014"
"245"," 미용","깔끔하개","서울특별시 중랑구 면목동","306000004920210013","306000003720210013"
"246"," 미용","닥터멍펫샵","서울특별시 중랑구 면목동","306000004920210012","306000003720210012"
"247"," 미용","화사하개","서울특별시 중랑구 묵동","306000004920210011","306000003720210011"
"248"," 미용","the 개 #","서울특별시 중랑구 면목동","306000004920210007","306000003720210007"
"249"," 미용","다시사랑받개","서울특별시 중랑구 신내동","306000004920210006","306000003720210006"
"250"," 미용","털찐친구들","서울특별시 중랑구 망우동","306000004920210004","306000003720210004"
"251"," 미용","i꾸러미","서울특별시 중랑구 상봉동","306000004920200012","306000003720200012"
"252"," 미용","댕댕살롱","서울특별시 중랑구 면목동","306000004920200006","306000003720200006"
"253"," 미용","내안에너있DOG","서울특별시 중랑구 신내동","306000004920200009","306000003720200009"
"254"," 미용","꼬마애견","서울특별시 중랑구 중화동","306000004920190023","306000003720190023"
"255"," 미용","아이봄동물병원","서울특별시 중랑구 신내동","306000004920190022","306000003720190022"
"256"," 미용","지앤에프","서울특별시 중랑구 면목동","306000004920190020","306000003720190020"
"257"," 미용","59펫살롱","서울특별시 중랑구 면목동","306000004920190014","306000003720190014"
"258"," 미용","예뿌잔아","서울특별시 중랑구 상봉동","306000004920190013","306000003720190013"
"259"," 미용","몽스토리","서울특별시 중랑구 망우동","306000004920190010","306000003720190010"
"260"," 미용","개발소","서울특별시 중랑구 면목동","306000004920190006","306000003720190006"
"261"," 미용","말랑말랑","서울특별시 중랑구 중화동","306000004920180079","306000003720180079"
"262"," 미용","디자인펫샵","서울특별시 중랑구 면목동","306000004920180075","306000003720180075"
